Date, Close/Last, Volume, Open, High, Low
01/13/2020, $102.16, 6722718, $101, $102.34, $100.82
01/10/2020, $100.9, 5135459, $101.89, $101.93, $100.76
01/09/2020, $101.48, 5007639, $101.94, $102.41, $101.385
01/08/2020, $101.55, 4942205, $101.31, $102.14, $100.85
01/07/2020, $101.78, 6818719, $101.81, $102.74, $100.8126
01/06/2020, $101.83, 4612752, $100.95, $101.84, $100.8686
01/03/2020, $101.92, 4542003, $100.59, $102, $100.31
01/02/2020, $102.2, 5644162, $101.36, $102.21, $101.015
12/31/2019, $101.31, 3213979, $100.58, $101.39, $100.51
12/30/2019, $100.8, 3496131, $101.54, $101.61, $100.46
12/27/2019, $101.57, 5307896, $101, $101.79, $100.99
12/26/2019, $100.71, 3710616, $100.34, $100.75, $100.11
12/24/2019, $100.14, 3328094, $99.83, $100.66, $99.76
12/23/2019, $100.04, 6351639, $100.23, $100.69, $99.55
12/20/2019, $99.96, 17646650, $101, $101.4, $98.85
12/19/2019, $101.15, 12370930, $100.5, $101.27, $99.63
12/18/2019, $100.57, 7340058, $100.195, $100.79, $99.58
12/17/2019, $99.65, 7054362, $99.38, $100.17, $99.05
12/16/2019, $98.81, 8214040, $98.14, $99.34, $98.06
12/13/2019, $97.77, 5248136, $97.43, $98.29, $96.91
12/12/2019, $97.72, 4763208, $97.32, $98.18, $96.9
12/11/2019, $97.18, 4319849, $96.9, $97.32, $96.65
12/10/2019, $97.01, 4234325, $96.76, $97.59, $96.63
12/09/2019, $96.63, 6579399, $97.02, $97.63, $96.16
12/06/2019, $97, 6369262, $96.56, $97.31, $96.38
12/05/2019, $95.79, 6946016, $95.88, $95.95, $94.682
12/04/2019, $93.72, 4456371, $92.81, $93.7871, $92.73
12/03/2019, $92.46, 5995990, $92.48, $92.545, $91.31
12/02/2019, $93.56, 3893216, $94.09, $94.28, $92.98
11/29/2019, $93.49, 2541808, $94.37, $94.61, $93.39
11/27/2019, $94.14, 4017613, $93.5, $94.38, $93.5
11/26/2019, $93.33, 5908540, $93.38, $93.63, $93.02
11/25/2019, $92.9, 5419903, $93.78, $93.97, $92.74
11/22/2019, $93.34, 4264394, $92.21, $93.3499, $91.93
11/21/2019, $92.16, 5493063, $92.62, $93.3, $92.07
11/20/2019, $93.05, 6235624, $94.11, $94.4, $92.77
11/19/2019, $93.61, 5382247, $94.61, $95.12, $93.06
11/18/2019, $94.18, 6165745, $93.5, $94.26, $92.91
11/15/2019, $93.04, 6785736, $92.14, $93.56, $91.96
11/14/2019, $91.27, 6035607, $91.49, $91.96, $90.72
11/13/2019, $91.29, 5955836, $89.73, $91.55, $89.57
11/12/2019, $89.5, 3982543, $90.31, $92.03, $89.49
11/11/2019, $90.05, 3247447, $89.37, $90.1, $89.37
11/08/2019, $89.81, 4555402, $90.28, $90.35, $89.29
11/07/2019, $90.4, 7110290, $90.47, $90.6, $89.77
11/06/2019, $89.48, 7033830, $90.64, $90.72, $88.74
11/05/2019, $89.88, 5589669, $90.15, $90.335, $89.54
11/04/2019, $89.86, 8161181, $90.13, $90.563, $89.32
11/01/2019, $89.18, 5263599, $90.18, $90.528, $89
10/31/2019, $89.55, 6752001, $90, $90.41, $88.94
10/30/2019, $90.19, 8127544, $89.45, $90.27, $89.35
10/29/2019, $89.28, 9044652, $90.85, $90.92, $89.13
10/28/2019, $90.85, 10304700, $91.06, $91.3, $90.17
10/25/2019, $90.92, 8147156, $91.44, $91.83, $90.75
10/24/2019, $91.5, 12134860, $92.68, $92.87, $90.99
10/23/2019, $92.32, 11985170, $95.03, $95.54, $92.12
10/22/2019, $95.6, 5492396, $96.06, $96.83, $95.52
10/21/2019, $96.22, 5368220, $96.61, $96.87, $95.42
10/18/2019, $96.1, 6209222, $94.81, $96.455, $94.8
10/17/2019, $95.56, 3447921, $95.565, $95.89, $94.97
10/16/2019, $94.88, 4885561, $94.09, $95.14, $94.07
10/15/2019, $94.79, 4301375, $95, $95.18, $94.12
10/14/2019, $94.88, 4713929, $94.2, $95.25, $94.05
10/11/2019, $93.88, 6254127, $94, $94.57, $93.56
10/10/2019, $93, 5870707, $93.5, $93.5, $92.72
10/09/2019, $92.52, 5136966, $92.41, $93.045, $91.82
